ticker,event_ticker,title,status,result,strike,volume,close_time,expiration_time
KXBTC15M-25DEC162300-00,KXBTC15M-25DEC162300,"BTC price up in next 15 mins?",finalized,no,87248,2618,2025-12-17T04:00:00Z,2025-12-24T04:00:00Z
KXBTC15M-25DEC162245-45,KXBTC15M-25DEC162245,"BTC price up in next 15 mins?",finalized,no,87335,2401,2025-12-17T03:45:00Z,2025-12-24T03:45:00Z
KXBTC15M-25DEC162230-30,KXBTC15M-25DEC162230,"BTC price up in next 15 mins?",finalized,no,87446,1060,2025-12-17T03:30:00Z,2025-12-24T03:30:00Z
KXBTC15M-25DEC162215-15,KXBTC15M-25DEC162215,"BTC price up in next 15 mins?",finalized,no,87471,548,2025-12-17T03:15:00Z,2025-12-24T03:15:00Z
KXBTC15M-25DEC162200-00,KXBTC15M-25DEC162200,"BTC price up in next 15 mins?",finalized,yes,87367,649,2025-12-17T03:00:00Z,2025-12-24T03:00:00Z
KXBTC15M-25DEC162145-45,KXBTC15M-25DEC162145,"BTC price up in next 15 mins?",finalized,yes,87320,1457,2025-12-17T02:45:00Z,2025-12-24T02:45:00Z
KXBTC15M-25DEC162130-30,KXBTC15M-25DEC162130,"BTC price up in next 15 mins?",finalized,yes,87270,601,2025-12-17T02:30:00Z,2025-12-24T02:30:00Z
KXBTC15M-25DEC162115-15,KXBTC15M-25DEC162115,"BTC price up in next 15 mins?",finalized,no,87518,1315,2025-12-17T02:15:00Z,2025-12-24T02:15:00Z
KXBTC15M-25DEC162100-00,KXBTC15M-25DEC162100,"BTC price up in next 15 mins?",finalized,no,87567,1525,2025-12-17T02:00:00Z,2025-12-24T02:00:00Z
KXBTC15M-25DEC162045-45,KXBTC15M-25DEC162045,"BTC price up in next 15 mins?",finalized,no,87739,1027,2025-12-17T01:45:00Z,2025-12-24T01:45:00Z
KXBTC15M-25DEC162030-30,KXBTC15M-25DEC162030,"BTC price up in next 15 mins?",finalized,yes,87609,745,2025-12-17T01:30:00Z,2025-12-24T01:30:00Z
KXBTC15M-25DEC162015-15,KXBTC15M-25DEC162015,"BTC price up in next 15 mins?",finalized,yes,87514,259,2025-12-17T01:15:00Z,2025-12-24T01:15:00Z
KXBTC15M-25DEC162000-00,KXBTC15M-25DEC162000,"BTC price up in next 15 mins?",finalized,yes,87429,554,2025-12-17T01:00:00Z,2025-12-24T01:00:00Z
KXBTC15M-25DEC161945-45,KXBTC15M-25DEC161945,"BTC price up in next 15 mins?",finalized,no,87484,1329,2025-12-17T00:45:00Z,2025-12-24T00:45:00Z
KXBTC15M-25DEC161930-30,KXBTC15M-25DEC161930,"BTC price up in next 15 mins?",finalized,no,87534,1805,2025-12-17T00:30:00Z,2025-12-24T00:30:00Z
