2025-12-23 03:21:52 UTC | BTC | entry=10¢ exit=9¢ | size=19.5 | cost=$1.95 rev=$1.75 | P&L=$-0.20
2025-12-23 03:22:03 UTC | BTC | entry=9¢ exit=9¢ | size=21.3 | cost=$1.92 rev=$1.92 | P&L=$+0.00
2025-12-23 03:22:24 UTC | BTC | entry=11¢ exit=9¢ | size=34.9 | cost=$3.84 rev=$3.14 | P&L=$-0.70
2025-12-23 03:22:39 UTC | BTC | entry=10¢ exit=6¢ | size=19.2 | cost=$1.92 rev=$1.15 | P&L=$-0.77
2025-12-23 03:23:26 UTC | BTC | entry=9¢ exit=8¢ | size=22.4 | cost=$2.02 rev=$1.80 | P&L=$-0.22
2025-12-23 03:37:48 UTC | BTC | entry=36¢ exit=40¢ | size=4.9 | cost=$1.76 rev=$1.95 | P&L=$+0.20
2025-12-23 03:38:37 UTC | BTC | entry=25¢ exit=29¢ | size=7.4 | cost=$1.86 rev=$2.16 | P&L=$+0.30
2025-12-23 03:39:56 UTC | BTC | entry=83¢ exit=86¢ | size=2.0 | cost=$1.68 rev=$1.74 | P&L=$+0.06
2025-12-23 03:40:36 UTC | BTC | entry=90¢ exit=93¢ | size=2.0 | cost=$1.82 rev=$1.88 | P&L=$+0.06
2025-12-23 03:42:07 UTC | BTC | entry=4¢ exit=2¢ | size=48.8 | cost=$1.95 rev=$0.81 | P&L=$-1.14
2025-12-23 03:57:04 UTC | BTC | entry=21¢ exit=6¢ | size=9.0 | cost=$1.89 rev=$0.54 | P&L=$-1.35
2025-12-23 04:12:54 UTC | BTC | entry=47¢ exit=1¢ | size=4.2 | cost=$1.96 rev=$0.04 | P&L=$-1.92
