  Fetched 1000 trades...  Fetched 2000 trades...
ticker,trade_time,close_time,minutes_remaining,yes_price,fair_value,fair_value_atm,mispricing,mispricing_atm,spot_price,opening_price,strike,closing_price,resolved_yes,taker_side,count
KXBTC15M-25DEC171845-45,2025-12-17T23:40:12.194660+00:00,2025-12-17T23:45:00+00:00,4.78,81,96,50,-15,31,86261.00,86000.69,86045.69,86261.00,true,no,10
KXBTC15M-25DEC171845-45,2025-12-17T23:39:38.179494+00:00,2025-12-17T23:45:00+00:00,5.35,86,95,50,-9,36,86261.00,86000.69,86045.69,86261.00,true,no,10
KXBTC15M-25DEC171845-45,2025-12-17T23:38:15.196278+00:00,2025-12-17T23:45:00+00:00,6.73,74,46,50,28,24,86034.43,86000.69,86045.69,86261.00,true,yes,10
KXBTC15M-25DEC171845-45,2025-12-17T23:38:15.196278+00:00,2025-12-17T23:45:00+00:00,6.73,80,46,50,34,30,86034.43,86000.69,86045.69,86261.00,true,yes,75
KXBTC15M-25DEC171845-45,2025-12-17T23:38:15.196278+00:00,2025-12-17T23:45:00+00:00,6.73,81,46,50,35,31,86034.43,86000.69,86045.69,86261.00,true,yes,23
KXBTC15M-25DEC171845-45,2025-12-17T23:37:44.340557+00:00,2025-12-17T23:45:00+00:00,7.25,53,45,50,8,3,86029.73,86000.69,86045.69,86261.00,true,no,10
KXBTC15M-25DEC171845-45,2025-12-17T23:37:44.340557+00:00,2025-12-17T23:45:00+00:00,7.25,45,45,50,0,-5,86029.73,86000.69,86045.69,86261.00,true,no,8
